"cena","count"
"79","2"
"119","13"
"120","7"
"132","1"
"139","24"
"140","4"
"148","2"
"149","23"
"150","3"
"154","6"
"165","3"
"180","8"
"187","6"
"192","1"
"198","18"
"199","18"
"200","1"
"209","2"
"217","1"
"220","12"
"230","1"
"239","1"
"242","5"
"248","1"
"249","33"
"250","6"
"253","2"
"257","1"
"262","1"
"264","7"
"269","1"
"275","25"
"277","5"
"293","3"
"297","14"
"299","124"
"300","19"
"302","2"
"308","4"
"310","1"
"320","5"
"328","1"
"330","80"
"339","2"
"341","1"
"346","9"
"348","10"
"349","151"
"350","34"
"352","6"
"356","7"
"358","3"
"359","2"
"363","4"
"369","1"
"370","1"
"374","1"
"379","3"
"380","18"
"385","78"
"386","1"
"389","1"
"390","6"
"396","29"
"397","5"
"398","3"
"399","206"
"400","13"
"401","1"
"402","3"
"404","1"
"407","5"
"410","2"
"418","10"
"420","12"
"422","1"
"423","12"
"426","2"
"429","2"
"430","11"
"435","2"
"438","1"
"440","148"
"444","4"
"448","5"
"449","39"
"450","154"
"451","2"
"455","1"
"457","1"
"458","1"
"459","6"
"460","1"
"462","12"
"466","1"
"469","1"
"470","1"
"473","5"
"475","7"
"479","3"
"480","43"
"484","6"
"485","1"
"486","1"
"489","7"
"490","10"
"492","10"
"495","125"
"496","1"
"497","1"
"498","1"
"499","240"
"500","49"
"501","2"
"504","1"
"506","10"
"508","4"
"509","2"
"517","3"
"520","10"
"523","1"
"528","23"
"529","1"
"530","2"
"532","2"
"539","12"
"540","2"
"544","44"
"548","6"
"549","19"
"550","320"
"554","3"
"559","8"
"560","3"
"561","4"
"566","1"
"568","1"
"570","3"
"572","7"
"573","1"
"575","2"
"576","2"
"579","1"
"580","25"
"583","9"
"585","1"
"588","1"
"590","46"
"591","1"
"592","1"
"594","101"
"595","2"
"598","3"
"599","374"
"600","44"
"601","2"
"604","1"
"605","107"
"607","6"
"609","3"
"610","2"
"611","1"
"616","5"
"617","1"
"619","1"
"620","11"
"624","1"
"625","4"
"627","7"
"630","3"
"631","3"
"632","1"
"638","17"
"640","9"
"641","1"
"643","1"
"649","23"
"650","82"
"651","6"
"653","1"
"658","1"
"659","1"
"660","406"
"662","5"
"664","2"
"665","5"
"671","19"
"677","1"
"680","41"
"682","34"
"686","1"
"690","81"
"692","7"
"693","100"
"695","1"
"698","18"
"699","580"
"700","25"
"701","1"
"702","8"
"703","2"
"704","12"
"707","2"
"709","1"
"710","20"
"712","2"
"713","1"
"715","120"
"717","1"
"719","1"
"720","20"
"726","16"
"730","10"
"733","1"
"735","1"
"737","10"
"738","1"
"740","44"
"742","1"
"745","1"
"748","39"
"749","22"
"750","83"
"753","2"
"759","34"
"760","9"
"761","1"
"764","3"
"765","1"
"766","1"
"768","1"
"769","3"
"770","466"
"775","1"
"776","1"
"777","1"
"778","1"
"780","31"
"781","11"
"785","1"
"786","5"
"790","59"
"792","204"
"794","8"
"795","2"
"796","1"
"797","8"
"798","25"
"799","536"
"800","65"
"803","16"
"804","1"
"805","1"
"808","1"
"810","14"
"811","1"
"813","1"
"814","21"
"815","1"
"820","35"
"822","1"
"823","2"
"825","149"
"829","1"
"830","9"
"836","27"
"840","8"
"841","1"
"847","30"
"848","1"
"849","17"
"850","108"
"855","1"
"858","19"
"860","4"
"864","1"
"865","2"
"869","25"
"870","3"
"871","2"
"875","2"
"876","3"
"877","1"
"878","2"
"880","659"
"884","1"
"885","1"
"890","85"
"891","166"
"896","7"
"897","2"
"898","3"
"899","591"
"900","62"
"902","27"
"907","4"
"910","5"
"913","24"
"916","1"
"917","1"
"920","8"
"924","46"
"926","1"
"930","11"
"933","3"
"935","129"
"939","1"
"940","10"
"945","1"
"946","13"
"949","5"
"950","123"
"951","1"
"953","1"
"957","24"
"960","13"
"968","32"
"970","2"
"979","13"
"980","39"
"988","1"
"990","950"
"992","1"
"995","2"
"996","2"
"997","1"
"998","19"
"999","831"
"1000","14"
"1001","3"
"1008","2"
"1010","2"
"1012","8"
"1016","1"
"1017","20"
"1018","5"
"1019","1"
"1023","3"
"1028","3"
"1034","9"
"1038","2"
"1039","3"
"1040","3"
"1045","46"
"1049","1"
"1050","17"
"1056","42"
"1059","1"
"1061","1"
"1065","1"
"1067","7"
"1068","1"
"1069","1"
"1075","1"
"1076","4"
"1078","6"
"1080","15"
"1087","1"
"1089","48"
"1090","48"
"1098","18"
"1099","874"
"1100","475"
"1111","2"
"1120","2"
"1122","14"
"1127","2"
"1136","1"
"1137","1"
"1144","2"
"1149","9"
"1150","16"
"1155","23"
"1158","1"
"1160","9"
"1170","1"
"1173","1"
"1178","1"
"1180","28"
"1186","3"
"1188","50"
"1189","7"
"1190","43"
"1199","577"
"1200","62"
"1201","2"
"1207","1"
"1208","1"
"1210","263"
"1216","1"
"1220","2"
"1221","2"
"1222","8"
"1227","2"
"1230","1"
"1232","1"
"1237","1"
"1240","20"
"1249","2"
"1250","11"
"1254","8"
"1260","1"
"1265","18"
"1270","2"
"1273","1"
"1276","3"
"1280","34"
"1287","1"
"1289","3"
"1290","29"
"1295","1"
"1296","1"
"1297","1"
"1298","23"
"1299","317"
"1300","16"
"1303","1"
"1309","1"
"1313","1"
"1315","4"
"1318","2"
"1320","510"
"1324","1"
"1331","5"
"1333","1"
"1342","3"
"1349","1"
"1350","17"
"1353","1"
"1364","5"
"1366","1"
"1367","1"
"1375","32"
"1376","1"
"1379","1"
"1380","16"
"1386","2"
"1389","3"
"1390","32"
"1397","40"
"1399","118"
"1400","21"
"1415","2"
"1419","2"
"1425","1"
"1430","194"
"1440","1"
"1442","1"
"1448","1"
"1450","32"
"1452","18"
"1476","1"
"1478","2"
"1480","3"
"1485","30"
"1487","1"
"1488","1"
"1489","4"
"1490","49"
"1496","45"
"1499","173"
"1500","52"
"1512","3"
"1518","11"
"1520","1"
"1527","6"
"1529","1"
"1540","142"
"1546","1"
"1550","11"
"1560","3"
"1562","4"
"1565","1"
"1567","1"
"1573","14"
"1579","1"
"1580","3"
"1584","5"
"1585","1"
"1586","1"
"1590","11"
"1592","2"
"1595","14"
"1599","84"
"1600","12"
"1609","1"
"1617","1"
"1619","2"
"1621","1"
"1628","9"
"1629","2"
"1635","1"
"1639","1"
"1649","1"
"1650","265"
"1663","1"
"1669","1"
"1670","1"
"1690","13"
"1694","7"
"1699","96"
"1700","10"
"1705","5"
"1710","1"
"1716","4"
"1718","1"
"1719","1"
"1730","1"
"1731","1"
"1736","1"
"1738","4"
"1749","2"
"1750","8"
"1754","1"
"1760","138"
"1769","1"
"1771","1"
"1777","1"
"1781","1"
"1782","13"
"1790","12"
"1793","2"
"1795","2"
"1798","2"
"1799","75"
"1800","52"
"1802","1"
"1804","1"
"1815","18"
"1826","1"
"1833","9"
"1839","2"
"1848","12"
"1850","13"
"1851","1"
"1859","2"
"1870","83"
"1875","1"
"1879","1"
"1881","2"
"1890","5"
"1897","1"
"1899","14"
"1900","23"
"1911","1"
"1914","5"
"1925","17"
"1936","2"
"1947","1"
"1950","19"
"1952","1"
"1958","5"
"1960","2"
"1969","2"
"1980","243"
"1985","1"
"1986","1"
"1990","38"
"1991","6"
"1996","2"
"1998","3"
"1999","103"
"2000","34"
"2032","1"
"2035","8"
"2037","2"
"2050","1"
"2057","2"
"2062","2"
"2068","1"
"2079","2"
"2090","51"
"2099","3"
"2100","22"
"2112","2"
"2117","2"
"2145","5"
"2149","1"
"2150","2"
"2178","8"
"2189","5"
"2190","12"
"2198","5"
"2199","19"
"2200","129"
"2217","1"
"2226","2"
"2240","1"
"2250","3"
"2255","2"
"2277","1"
"2288","1"
"2290","36"
"2298","1"
"2299","7"
"2300","9"
"2310","25"
"2315","1"
"2320","3"
"2322","3"
"2340","1"
"2342","1"
"2343","1"
"2350","9"
"2360","1"
"2365","2"
"2376","1"
"2380","1"
"2390","5"
"2395","1"
"2398","1"
"2399","3"
"2400","12"
"2420","88"
"2444","2"
"2448","1"
"2450","4"
"2475","6"
"2486","1"
"2489","1"
"2490","52"
"2497","4"
"2499","17"
"2500","25"
"2502","1"
"2516","1"
"2520","2"
"2530","29"
"2534","1"
"2541","2"
"2550","2"
"2574","2"
"2585","3"
"2590","3"
"2596","1"
"2599","11"
"2600","6"
"2613","1"
"2640","38"
"2649","1"
"2650","1"
"2654","1"
"2675","1"
"2690","1"
"2695","1"
"2700","8"
"2722","1"
"2749","1"
"2750","84"
"2783","1"
"2790","16"
"2799","2"
"2800","8"
"2813","1"
"2831","1"
"2850","2"
"2860","14"
"2890","6"
"2900","6"
"2904","1"
"2915","1"
"2950","2"
"2953","1"
"2960","2"
"2970","54"
"2976","1"
"2987","1"
"2990","18"
"2999","11"
"3000","7"
"3025","3"
"3036","1"
"3080","25"
"3099","2"
"3100","3"
"3147","4"
"3160","1"
"3168","1"
"3190","9"
"3194","1"
"3200","8"
"3217","1"
"3234","1"
"3245","1"
"3259","1"
"3267","1"
"3290","9"
"3300","55"
"3332","1"
"3360","1"
"3377","1"
"3388","1"
"3390","3"
"3400","3"
"3410","2"
"3448","2"
"3465","3"
"3490","13"
"3499","1"
"3500","5"
"3509","1"
"3520","17"
"3564","2"
"3590","7"
"3600","9"
"3630","12"
"3690","7"
"3700","1"
"3740","1"
"3795","1"
"3800","2"
"3850","30"
"3872","2"
"3899","2"
"3900","6"
"3933","1"
"3960","12"
"3990","4"
"3998","1"
"3999","1"
"4000","4"
"4015","1"
"4070","2"
"4125","1"
"4180","2"
"4190","2"
"4196","9"
"4200","1"
"4290","6"
"4386","1"
"4400","24"
"4428","1"
"4490","14"
"4583","1"
"4602","1"
"4620","5"
"4790","1"
"4800","1"
"4840","7"
"4895","1"
"4900","3"
"4901","1"
"4906","1"
"4950","8"
"4990","3"
"4998","1"
"4999","1"
"5170","1"
"5200","3"
"5280","3"
"5290","1"
"5390","1"
"5445","1"
"5489","1"
"5490","1"
"5500","22"
"5601","1"
"5720","2"
"5790","1"
"5900","1"
"5990","8"
"6050","11"
"6160","1"
